location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",2010-07-17,2.5,956.19,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-18,0.6,1075.47,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-19,0.0,919.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-20,0.1,684.49,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-21,0.5,485.41,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-22,0.4,359.58,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-23,2.0,294.8,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-24,0.2,270.64,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-25,0.0,263.24,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-26,0.4,276.97,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-27,8.5,313.77,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-28,1.5,322.59,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-29,0.5,296.85,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-30,7.3,271.9,low,default_low_unconfirmed
"Lagos, Nigeria",2010-07-31,0.5,259.02,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-01,0.1,244.47,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-02,0.0,247.89,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-03,0.3,271.27,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-04,1.3,269.4,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-05,0.9,237.23,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-06,0.3,201.3,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-07,7.1,179.3,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-08,9.1,176.01,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-09,6.0,185.64,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-10,8.1,224.94,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-11,7.4,311.61,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-12,11.3,388.05,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-13,10.9,471.06,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-14,3.9,614.18,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-15,0.5,896.43,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-16,4.4,1149.8,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-17,8.0,1017.59,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-18,2.1,716.79,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-19,0.2,519.0,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-20,8.6,459.26,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-21,4.5,443.63,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-22,1.6,403.58,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-23,3.2,364.59,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-24,13.3,343.35,low,default_low_unconfirmed
